ID,t_r_vodacom,t_w_vodacom,SAL_area,price_m2
630,1606.3811,2457.0654,6.8403039,2560.9175
631,1130.8323,1688.8678,3.4813192,2816.5903
632,385.66467,606.30493,.55402112,1600.1428
633,1081.2758,1604.0961,3.3274658,2440.6931
634,172.00818,244.01009,1.0552567,2147.8821
635,695.70917,998.12024,3.3121684,3073.3909
636,1087.5189,2023.2336,3.4984777,3078.3699
637,238.53127,623.81061,1.1575537,6886.6743
638,1179.547,2017.5035,2.7630978,2546.1172
639,613.45068,1072.1405,2.3474627,2180.9299
640,1166.3705,1602.2491,6.2810369,1698.1003
641,946.75879,1496.671,4.5197144,2444.8662
642,1328.6058,2210.7988,11.951108,212.41284
643,54.882622,106.58243,.41474128,2669.0088
644,152.70244,296.54916,1.1539537,2908.5537
645,340.57669,510.1803,3.2556913,3006.0635
646,17.15539,26.494316,.32111299,2755.2732
647,592.3963,777.06622,4.111517,.014702206
648,1697.7899,2555.7476,7.2777109,2373.5977
649,458.65857,784.50409,1.8717939,1857.3259
650,1465.266,2190.3301,4.7145715,2922.8247
651,283.04611,432.71701,3.7071261,2894.9075
652,1504.3167,2336.0503,21.923075,3167.8931
653,45.729656,116.01678,1.5788411,2030.1514
654,197.35573,420.27621,.48712829,35966.051
655,2001.7656,5512.0532,1.3032923,26354.227
656,1924.218,4752.0913,2.9065597,33566.734
657,341.67114,662.33295,.42314228,26241.477
658,2477.9412,5355.3486,2.2949758,27528.779
659,677.89111,1469.1981,1.0551566,26705.068
660,275.02051,561.07721,.55020875,32390.02
661,2561.1133,5370.5405,6.8491039,9.0313396
662,942.87598,2511.9546,1.3750874,20931.367
663,597.31641,1862.0137,.44107163,30845.57
664,7701.2124,31919.469,3.7320912,24143.021
665,999.94904,3736.0046,3.3933227,38571.426
666,24.872032,87.351143,4.9451175,35906.449
667,329.58359,817.96027,1.7099572,1866.1683
668,636.33557,1319.783,2.7270877,2877.761
669,1262.7739,4279.3208,5.7200627,8170.7461
670,1693.4265,5622.3799,3.9824517,13616.676
671,1726.2711,6076.2534,4.4869323,18465.271
672,1373.3604,4947.7681,2.0548365,18305.342
673,2432.7942,5349.4961,2.7614117,23891.666
674,2228.4722,5378.9883,5.0537863,14215.769
675,4334.9854,12107.382,7.5645003,13960.688
676,915.39697,1839.8668,1.5214182,5379.4824
677,884.02136,1674.7526,1.0653625,4221.855
678,63.890747,119.24419,.15267035,3264.0112
679,21.743984,40.582458,.051958431,3244.9194
680,49.692493,212.72153,.66522908,23709.365
681,716.48749,1793.5215,1.3657815,24986.648
682,1063.2112,2553.803,1.6375651,24933.449
683,409.79803,1093.2725,.88989532,61138.668
684,361.96121,1004.9207,2.43609,27792.273
685,90.049004,211.15993,1.9567474,22816.217
686,439.47238,1218.4589,15.504606,1.4871149
687,92.346718,172.35556,.220433,3318.8792
688,98.175888,251.22972,2.6223655,1.2010649
689,494.07922,1372.8109,3.3599086,7777.8672
690,105.94923,233.88158,2.8931618,3489.8911
691,393.81839,1049.4307,3.365932,7915.5435
692,3372.6689,9112.7549,7.3549914,9897.5322
693,863.7276,1944.8839,2.4020565,3425.4353
694,806.26709,1729.2952,2.0348582,6115.9434
695,156.86768,321.25259,.43918961,7623.9355
696,530.30365,951.36377,1.0850334,2510.4773
697,100.15057,180.06035,.18951985,2304.0251
698,90.814392,161.30713,.17597996,2613.4849
699,70.849068,121.99277,.14536957,3237.7012
700,123.30716,284.02182,.44397011,3150.7473
701,291.79657,535.42584,.84269619,2740.6096
702,297.09866,598.54816,1.0713276,5029.8496
703,262.40805,561.77014,1.099667,5584.5522
704,797.93036,1767.3096,2.892278,4276.0068
705,398.21698,1043.6362,2.2144921,2018.2936
706,2044.5234,5213.1685,5.028069,13906.218
707,188.29886,397.06274,2.9293282,4413.5283
708,71.302269,159.7132,1.9760541,2061.4702
709,20.705721,68.306015,1.109912,1956.6729
710,9.5609503,26.752123,.68571973,906.09558
711,362.00003,898.24146,8.5676346,3317.5933
712,438.57642,1540.4429,1.7241598,4301.9458
713,18.482231,110.84518,.25363162,7068.1484
714,337.22678,662.39111,1.3541969,3939.8213
715,315.53934,550.27795,.86221474,3048.6243
716,358.28802,785.38702,1.7797675,6135.4229
717,476.87762,950.58521,1.6266134,9128.3691
718,73.655235,144.46651,.18123694,2250.6035
719,182.65355,471.85306,.83490568,10121.056
720,2678.5637,5982.3535,6.6483765,7900.6743
721,273.33163,920.68933,1.4210284,4994.2686
722,101.02715,287.65021,.75566298,4114.0815
723,377.43213,876.0578,1.0936882,16849.76
724,564.46484,1551.238,1.9487835,5230.7861
725,203.85977,512.81061,1.8727108,3438.8293
726,75.591629,289.70074,.3442916,3542.1667
727,8.8124075,46.254692,.078493014,8985.3369
728,72.242882,252.45163,.43117505,3478.4436
729,87.470245,241.99774,.8823669,3501.6218
730,58.191345,128.47452,.86016482,3581.3767
731,28.906898,62.470173,.67939967,2170.4375
732,98.670853,245.87254,.9449814,4986.9727
733,36.336956,85.850082,.38485348,2926.7305
734,106.69006,283.24289,.93538696,3591.5322
735,83.398033,232.27513,.74219251,3380.3416
736,1557.2142,3918.6125,3.6328843,5546.835
737,460.83771,894.2113,1.6110207,7403.8457
738,733.18378,1519.2289,2.305073,5268.04
739,959.25159,1957.8995,2.7701547,4874.2866
740,2108.5444,4054.1013,7.6558118,2774.1125
741,1491.949,4167.604,2.3189399,15605.636
742,79.560722,237.70741,.85568255,4032.6704
743,13.232277,36.14473,.14768,19910.18
744,102.23235,334.43445,1.5272841,5189.4185
745,294.93341,1001.7535,1.8140471,4982.3228
746,521.21558,1565.7272,2.208014,8418.6758
747,304.28754,846.95331,2.9400704,7184.9458
748,500.27536,1366.2505,5.6919031,11620.987
749,1231.8721,3149.0415,29.120802,.57669079
750,28.873692,76.365585,.45906499,18389.639
751,.13563468,.35872868,.051763635,4982.3228
752,21.807602,53.049694,.1500854,3211.575
753,110.85761,270.86325,2.0630651,26.25197
754,42.123276,83.893463,.82913709,2182.1152
755,311.26868,725.04022,6.3482747,4982.3228
756,55.154858,144.01706,.75266808,4747.7988
757,20.201237,52.748257,.27567518,4749.7197
758,81.776207,213.76569,1.1336622,26352.816
759,10.072963,26.301916,.13746019,2342.2148
760,18.590836,48.543274,.25369892,2757.332
761,299.08813,701.23602,3.3325961,2324.0295
762,106.18356,248.09552,2.4685762,1834.319
763,42.913883,105.20322,.93737566,3145.6035
764,88.968132,197.5011,.61857468,4024.5488
765,177.84332,398.99783,1.290146,6060.1484
766,15.898556,41.513355,.21695882,2305.0798
767,12.294893,32.103687,.16778164,2274.751
768,16.154007,43.900375,.34273851,21444.121
769,17.281158,45.123524,.23582648,2313.2366
770,9.0238047,23.562416,.12314291,1896.7961
771,18.499802,48.305573,.25245664,3497.8752
772,151.463,341.8414,2.6734064,3791.8618
773,85.546516,152.52863,.81625354,5116.585
774,174.8942,410.54553,.90323621,3617.4729
775,99.832581,216.71892,.52816594,6362.7217
776,131.19171,301.65454,.81697357,6334.6919
777,15.316154,41.389572,.35672092,4073.2786
778,3.4251018,11.248352,.14724937,3324.5598
779,8.5634432,30.268307,.44079855,3030.0276
780,20.22315,63.441521,.74681181,3155.4358
781,10.813624,25.090322,.24726342,8385.625
782,50.314701,131.09756,.59163636,2398.9043
783,170.99432,454.29062,1.4735812,2864.6882
784,5.1295347,18.130829,.26403999,6076.9321
785,10.966014,31.164125,.14360067,2313.6416
786,90.563919,283.37793,.1629892,10236.858
787,146.83894,514.08569,.26283535,2740.1328
788,64.521164,178.02838,.1575671,2291.7795
789,255.45258,640.99835,1.0450836,2521.5103
790,68.85714,165.15337,.72834468,2125.1572
791,50.392841,122.74285,.44889817,3021.6863
792,32.524876,71.054611,.65601957,4422.7905
793,37.387894,61.994324,2.2743082,9813.1055
794,66.58934,157.83307,.91905278,1348.9327
795,3214.6958,10151.594,27.930445,15973.877
796,64.037811,192.73386,.67116886,5752.5493
797,73.791573,171.16989,.38832295,3498.2136
798,178.07155,488.11734,1.0246645,1568.2178
799,146.18498,421.14764,.6389128,9127.1875
800,832.18823,2827.0598,1.2939588,6238.1274
801,239.56763,1023.2784,.46598038,7112.0029
802,55.76384,191.65179,.11922785,2842.0659
803,215.10333,558.78235,.91760254,3167.0508
804,72.262947,176.38042,.6272074,9303.5977
805,49.173168,114.94791,.49045673,8550.4688
806,11.160746,46.288231,.22803211,6827.6323
807,60.938644,234.36609,.20822787,2569.5027
808,21.634823,84.917854,.10406733,981.67572
809,71.736465,223.96503,.32146883,1276.3522
810,23.522984,76.107277,.1732953,1662.687
811,105.96182,288.47647,.56733352,3074.5781
812,177.7621,552.21613,.46799022,2185.9502
813,56.877457,174.07016,.16322972,1292.793
814,25.049948,80.882317,.18051413,4289.7173
815,11.381845,24.223232,.18029417,7146.5977
816,166.66769,399.25443,1.2792437,6807.4976
817,153.27605,341.52289,.7403391,3273.8159
818,118.42557,239.70305,.73938924,7234.8867
819,109.15364,233.22375,.55587435,5446.4976
820,59.583302,133.75943,.23748672,3919.7678
821,52.886509,127.83831,.45033836,7447.7573
822,17.68203,43.66037,.13031887,4951.2915
823,447.48587,911.98102,2.0030861,9846.6934
824,7.3669047,17.070831,.04939108,9851.3018
825,149.19881,334.0535,.60478264,16440.236
826,235.93988,477.56165,1.4730891,6155.1626
827,17.086245,34.547993,.10777008,910.86499
828,987.54669,2000.1512,11.33604,6104.0176
829,81.319496,162.16553,2.8769808,1470.1654
830,54.820145,110.7381,.18012485,5294.4907
831,954.15234,1776.1451,3.4293721,1324.6763
832,346.18271,576.22913,1.757885,1196.7766
833,138.47739,372.70248,.50232697,4740.3999
834,275.83087,809.71478,.96477538,5834.1338
835,67.406944,140.49011,.28649977,2582.6477
836,89.127335,234.41016,.27682257,2547.0637
837,127.58115,375.23895,.47853231,2599.8074
838,149.99763,332.91882,.4573282,4289.7578
839,62.311981,141.60754,.19612651,3216.1804
840,98.085251,245.83783,.29835308,3049.9229
841,2270.3892,5018.4194,4.9560647,9584.4932
842,34.826683,102.44752,.10497032,2484.2141
843,168.85565,451.13205,.45477885,6435.9229
844,478.11716,975.68805,.94019181,2307.6216
845,401.47659,753.73785,.78233039,7415.7202
846,443.47131,823.50818,1.0205679,4196.1421
847,547.84955,1227.6548,.46682209,10653.369
848,494.78305,1032.9235,1.0443994,3999.4702
849,185.96315,318.7366,.56921124,2276.5369
850,302.97638,508.10849,1.5697821,1779.1427
851,443.97607,809.87891,3.2071013,1404.1057
852,389.43692,857.41193,.15565999,1636.298
853,389.43692,857.41193,.55282062,1497.1758
854,178.3331,283.1456,.93492848,1856.944
855,400.3147,655.10999,1.0747573,12124.164
856,484.88321,975.85858,9.1674366,252.47903
857,149.19218,236.87758,.63766325,2268.6453
858,3323.0789,6318.1709,275.64795,1094.3694
859,219.75032,500.93427,26.698174,.5803867
860,39.387867,49.184349,.19694887,239.31204
861,183.54745,323.16895,1.1977962,1147.7606
862,1086.0374,2119.5632,4.3064737,6236.6733
863,127.84913,250.33008,1.5638616,7139.4907
864,162.45723,320.12076,3.5787106,2352.2209
865,15.667813,37.999374,.73140007,10041.598
866,266.49838,558.0343,4.0931697,4982.3228
867,264.7226,555.33716,1.5555211,6618.0742
868,149.1181,337.5871,.73566383,11948.189
869,653.37531,1637.7267,3.5429902,9541.4033
870,36.036598,94.377243,.53399229,17204.105
871,14.825599,29.473421,1.8869165,2856.4646
872,464.00638,1042.0087,12.712447,1682.1307
873,19.407284,45.057934,.32190365,4426.8315
874,28.097694,66.037193,.19978803,5129.8364
875,58.039745,140.0567,.57059091,4033.2688
876,7.2552476,22.684263,.29541284,15611.502
877,12.379453,32.126831,.21926631,.0068482831
878,263.9444,647.54028,2.3003294,2059.48
879,124.80994,327.51492,1.4254421,5705.1118
880,249.42659,628.14557,2.2403569,6043.1318
881,276.83301,626.04657,1.4119496,5553.8813
882,350.89578,719.50281,8.9841452,2354.0715
883,59.917042,112.43346,2.3358927,4260.312
884,5.8383679,12.179939,.029152947,2182.5537
885,108.11939,225.62245,.57285088,1763.2465
886,702.69897,1576.4243,6.6179514,3507.4153
887,22.904009,50.032043,.15937957,3589.1262
888,423.89673,1002.5198,6.0360236,4058.9351
889,1202.3031,3440.876,11.478716,6930.8335
890,100.47558,259.60968,1.7578459,9253.3037
891,17.332565,37.821926,.32139975,5790.5034
892,38.609394,129.7755,.77443373,3952.6382
893,1.9526489,7.6180582,.058702014,10781.003
894,1.5436409,6.2654796,.087734841,8232.623
895,.82225668,3.3374553,.053643879,12625.255
896,.5844366,2.3721681,.028605308,5432.1504
897,5.2988253,21.507387,.27702352,4761.5327
898,19.572289,79.441902,.97845131,5953.1406
899,55.756611,132.90999,.88916355,6437.5146
900,238.47835,522.43353,3.7276564,5721.623
901,192.53116,404.91321,3.6894093,4583.5259
902,83.734703,160.68196,2.5561657,2069.7153
903,41.448833,69.737473,.86504394,6242.1416
904,505.88785,903.34772,4.6056652,4924.8159
905,9.454834,19.007263,.59473073,3402.363
906,11.400125,17.767107,.38650051,3580.8391
907,15.317225,21.377056,.35917613,4406.0181
908,3.0541234,6.1397724,.19211137,6534.5918
909,12.037095,20.83548,.54131669,3769.7563
910,3.9782977,5.4738274,.088257574,2429.5857
911,456.53162,722.73517,4.4014592,7502.3486
912,50.494492,78.029144,.37487701,13476.882
913,77.555916,139.47794,.50040835,.80840743
914,88.43512,158.27306,.71523273,5504.3525
915,34.969597,62.576641,.17102511,1262.6602
916,4.0416222,8.1249628,.25422734,3350.0935
917,.057128783,.07860475,.043194126,4982.3228
918,1.4245981,2.6436274,.17276521,7760.2715
919,27.638515,57.762936,5.4428716,5749.1675
920,12.527408,50.847458,.65430027,5406.2539
921,.29141161,.23065324,.11492112,4496.4971
